Nico Rosberg,1,1,1.0,1,Ret,7,5,1,4,3,2,4,1,1,1,3,1.0,2,2,2,2
Lewis Hamilton,2,3,7.0,2,Ret,1,1,5,1,1,1,1,3,2,3,Ret,3.0,1,1,1,1
Daniel Ricciardo,4,4,4.0,11,4,2,7,7,5,4,3,2,2,5,2,1,6.0,3,3,8,5
Sebastian Vettel,3,DNS,2.0,Ret,3,4,2,2,Ret,9,4,5,6,3,5,Ret,4.0,4,5,5,3
Max Verstappen,10,6,8.0,Ret,1,Ret,4,8,2,2,5,3,11,7,6,2,2.0,Ret,4,3,4
Kimi Räikkönen,Ret,2,5.0,3,2,Ret,6,4,3,5,6,6,9,4,4,4,5.0,Ret,6,Ret,6
Sergio Pérez,13,16,11.0,9,7,3,10,3,17,6,11,10,5,8,8,6,7.0,8,10,4,8
Valtteri Bottas,8,9,10.0,4,5,12,3,6,9,14,9,9,8,5,Ret,5,10.0,16,8,11,Ret
Nico Hülkenberg,7,15,15.0,Ret,Ret,6,8,9,Ret,7,10,7,4,10,Ret,8,8.0,Ret,7,7,7
Fernando Alonso,Ret,,12.0,6,Ret,5,11,Ret,Ret,13,7,12,7,14,7,7,16.0,5,13,10,10
Felipe Massa,5,8,6.0,5,8,10,Ret,10,Ret,11,18,Ret,10,9,12,13,9.0,7,9,Ret,9
Carlos Sainz Jr.,9,Ret,9.0,12,6,8,9,Ret,8,8,8,14,Ret,15,14,11,17.0,6,16,6,Ret
Romain Grosjean,6,5,19.0,8,18,13,14,13,7,Ret,14,13,13,11,DNS,Ret,11.0,10,20,DNS,11
Daniil Kvyat,DNS,7,3.0,15,10,Ret,12,Ret,Ret,10,16,15,14,Ret,9,14,13.0,12,18,13,Ret
Jenson Button,14,Ret,13.0,10,9,9,Ret,11,6,12,Ret,8,Ret,12,Ret,9,18.0,9,12,16,Ret
Kevin Magnussen,12,11,17.0,7,14,Ret,16,14,14,17,15,16,Ret,17,10,Ret,14.0,11,17,14,Ret
Felipe Nasr,15,14,20.0,16,15,Ret,18,12,13,15,17,21,17,Ret,13,Ret,19.0,15,15,9,16
Jolyon Palmer,11,DNS,22.0,13,13,Ret,Ret,15,12,Ret,12,19,15,Ret,15,10,12.0,13,14,Ret,17
Pascal Wehrlein,16,13,18.0,18,16,14,17,Ret,10,Ret,19,17,Ret,Ret,16,15,22.0,17,Ret,15,14
Stoffel Vandoorne,,10,,,,,,,,,,,,,,,,,,,
Esteban Gutierrez,Ret,Ret,14.0,17,11,11,13,16,11,16,13,11,12,13,11,Ret,20.0,Ret,19,Ret,12
Marcus Ericsson,Ret,12,16.0,14,12,Ret,15,17,15,Ret,20,18,Ret,16,17,12,15.0,14,11,Ret,15
Esteban Ocon,,,,,,,,,,,,,16,18,18,16,21.0,18,21,12,13
Rio Haryanto,Ret,17,21.0,Ret,17,15,19,18,16,Ret,21,20,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,
